Instituto Nacional de Estadística y Geografía,,,,,,,,,,,,,,,,,,,,,,,,
Biblioteca digital de Mapas,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de la consulta: 19/07/2023 18:46:33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
upc,titulo,titulo_ing,url,entidad,formatos,clvcarta,datum,edicion,coordenadas,escala,cobertura,serie,resolucion,tipofoto,vuelo,iin,sensor,indice_esp,satelite,resolucion_sat,restriccion,fecha_toma,unidad_edo,contacto
702825287849,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatlán","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatlán",/app/biblioteca/ficha.html?upc=702825287849, Puebla, SHP 1.05MB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825277468,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatlán de Juárez","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatlán de Juárez",/app/biblioteca/ficha.html?upc=702825277468, Jalisco, SHP 473.31KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825282134,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatlán de Pérez Figueroa","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatlán de Pérez Figueroa",/app/biblioteca/ficha.html?upc=702825282134, Oaxaca, SHP 1.66MB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825287856,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatzingo","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acatzingo",/app/biblioteca/ficha.html?upc=702825287856, Puebla, SHP 671.23KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825292966,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acayucan","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acayucan",/app/biblioteca/ficha.html?upc=702825292966, Veracruz de Ignacio de la Llave, SHP 1.64MB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825278717,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acolman","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acolman",/app/biblioteca/ficha.html?upc=702825278717, México, SHP 458.47KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825291020,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Aconchi","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Aconchi",/app/biblioteca/ficha.html?upc=702825291020, Sonora, SHP 433.85KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825292553,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acuamanala de Miguel Hidalgo","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acuamanala de Miguel Hidalgo",/app/biblioteca/ficha.html?upc=702825292553, Tlaxcala, SHP 501.60KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825272470,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acuña","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Acuña",/app/biblioteca/ficha.html?upc=702825272470, Coahuila de Zaragoza, SHP 460.28KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
702825294977,"Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Agua Dulce","Vectorial de localidades amanzanadas y números exteriores, Rurales. Cierre de planeación del Censo de Población y Vivienda 2010. Agua Dulce",/app/biblioteca/ficha.html?upc=702825294977, Veracruz de Ignacio de la Llave, SHP 584.52KB,,ITRF92 época 1988.0,2010,,,Localidad           ,,,,,False,,,No especificado,No especificado,,,,
