pack_id,donor_id,pack_count,lst_vers,user_resp,accepted_date,scope,about,author,contentReferenceTime,license_is_explicit,license,uri_objType,uri,isAt_UrbiGIS,status,statusUpdateDate
00101,1,1,001,claiton,2023-08-24,MX,"Todos los datos.",(self),2023-08-23,yes,odbl-1.0,site,http://download.geofabrik.de/north-america/mexico-latest.osm.pbf,,,
00201,2,1,001,claiton,2023-08-16,MX,"Asentamiento,frente_manzana, area_urbana, manzana, direccion, servicio_publico, poi y vial.",(self),2011-01-26,no,implied-INEGI-MX-1.0,site,https://www.inegi.org.mx/app/mapas,,,
